Repository,#queries_text_only,#queries_text+img,MRR_Text Only,MRR_Text+Image,MRR_Diff,MRR_RI%,MAP_Text Only,MAP_Text+Image,MAP_Diff,MAP_RI%,Recall@1_Text Only,Recall@1_Text+Image,Recall@1_Diff,Recall@5_Text Only,Recall@5_Text+Image,Recall@5_Diff,Recall@10_Text Only,Recall@10_Text+Image,Recall@10_Diff
Aegis,3,3,0.3741,0.0680,-0.3061,-81.83,0.3741,0.0680,-0.3061,-81.83,0.3333,0.0000,-0.3333,0.3333,0.0000,-0.3333,0.3333,0.0000,-0.3333
Anki-Android,19,19,0.1108,0.1103,-0.0005,-0.42,0.1032,0.1043,0.0011,1.07,0.0526,0.0526,0.0000,0.1491,0.1491,0.0000,0.1667,0.1667,0.0000
AntennaPod,6,6,0.1344,0.1548,0.0203,15.12,0.1344,0.1548,0.0203,15.12,0.0000,0.0000,0.0000,0.3333,0.3333,0.0000,0.5000,0.5000,0.0000
KISS,3,3,0.3741,0.3752,0.0011,0.29,0.3741,0.3752,0.0011,0.29,0.3333,0.3333,0.0000,0.3333,0.3333,0.0000,0.3333,0.3333,0.0000
MaterialFiles,5,5,0.3511,0.3518,0.0007,0.19,0.3268,0.3252,-0.0016,-0.48,0.1000,0.1000,0.0000,0.4667,0.4667,0.0000,0.6333,0.6333,0.0000
RetroMusicPlayer,1,1,0.0714,0.0417,-0.0298,-41.67,0.0714,0.0417,-0.0298,-41.67,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Slide,6,6,0.0946,0.0959,0.0013,1.34,0.0981,0.0994,0.0013,1.30,0.0000,0.0000,0.0000,0.1667,0.1667,0.0000,0.4167,0.4167,0.0000
StreetComplete,13,13,0.0961,0.0996,0.0034,3.58,0.0961,0.0996,0.0034,3.58,0.0769,0.0769,0.0000,0.0769,0.0769,0.0000,0.0769,0.1538,0.0769
UserLAnd,3,3,0.6752,0.6759,0.0007,0.11,0.6752,0.6759,0.0007,0.11,0.6667,0.6667,0.0000,0.6667,0.6667,0.0000,0.6667,0.6667,0.0000
VinylMusicPlayer,1,1,1.0000,1.0000,0.0000,0.00,1.0000,1.0000,0.0000,0.00,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000
android,1,1,0.3333,0.5000,0.1667,50.00,0.3333,0.5000,0.1667,50.00,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000
apps-android-commons,9,9,0.1306,0.1332,0.0027,2.03,0.1306,0.1332,0.0027,2.03,0.1111,0.1111,0.0000,0.1111,0.1111,0.0000,0.1111,0.1111,0.0000
cgeo,7,7,0.3248,0.3305,0.0057,1.76,0.3248,0.3305,0.0057,1.76,0.2143,0.2143,0.0000,0.2857,0.2857,0.0000,0.4286,0.5714,0.1429
collect,4,4,0.1545,0.1561,0.0016,1.03,0.1566,0.1582,0.0016,1.02,0.0000,0.0000,0.0000,0.2500,0.2500,0.0000,0.2500,0.2500,0.0000
florisboard,7,7,0.1669,0.1705,0.0036,2.15,0.1669,0.1705,0.0036,2.15,0.1429,0.1429,0.0000,0.1429,0.1429,0.0000,0.1429,0.2857,0.1429
focus-android,7,7,0.3549,0.2218,-0.1331,-37.51,0.2886,0.1563,-0.1323,-45.83,0.2143,0.0714,-0.1429,0.3571,0.2143,-0.1429,0.5000,0.3571,-0.1429
kiwix-android,10,10,0.1548,0.1371,-0.0177,-11.43,0.1538,0.1356,-0.0183,-11.88,0.1000,0.1000,0.0000,0.2000,0.1000,-0.1000,0.2000,0.1500,-0.0500
mobile-wallet,2,2,0.0213,0.0223,0.0010,4.58,0.0213,0.0223,0.0010,4.58,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
openfoodfacts-androidapp,4,4,0.0626,0.0530,-0.0096,-15.36,0.0626,0.0530,-0.0096,-15.36,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.2500,0.0000
phimpme-android,2,2,0.0220,0.0265,0.0045,20.23,0.0220,0.0265,0.0045,20.23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
qksms,1,1,0.5000,0.1250,-0.3750,-75.00,0.5000,0.1250,-0.3750,-75.00,0.0000,0.0000,0.0000,1.0000,0.0000,-1.0000,1.0000,1.0000,0.0000
simplenote-android,1,1,0.1000,0.1429,0.0429,42.86,0.1000,0.1429,0.0429,42.86,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000
thunderbird-android,10,10,0.0878,0.0935,0.0057,6.52,0.0878,0.0935,0.0057,6.52,0.0000,0.0000,0.0000,0.2000,0.2000,0.0000,0.3000,0.4000,0.1000
Overall,125,125,0.1859,0.1706,-0.0153,-8.23,0.1802,0.1650,-0.0152,-8.44,0.1080,0.0920,-0.0160,0.2213,0.1893,-0.0320,0.2907,0.3027,0.0120
Average,125,125,0.2476,0.2211,-0.0265,-10.71,0.2436,0.2170,-0.0265,-10.89,0.1455,0.1247,-0.0207,0.3075,0.2390,-0.0685,0.4048,0.4020,-0.0028
