Repository,#queries,#queries with image,MRR_Text Only,MRR_Text + Image,MRR_Diff Img-Text,MRR_RI,Recall@1_Text Only,Recall@1_Text + Image,Recall@1_Diff Img-Text,Recall@5_Text Only,Recall@5_Text + Image,Recall@5_Diff Img-Text,Recall@10_Text Only,Recall@10_Text + Image,Recall@10_Diff Img-Text
Aegis,3,3,0.0000,0.0680,0.0680,0.00%,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Anki-Android,19,19,0.0000,0.1103,0.1103,0.00%,0.0000,0.0526,0.0526,0.0000,0.1491,0.1491,0.0000,0.1667,0.1667
AntennaPod,6,6,0.0000,0.1548,0.1548,0.00%,0.0000,0.0000,0.0000,0.0000,0.3333,0.3333,0.0000,0.5000,0.5000
KISS,3,3,0.0000,0.3752,0.3752,0.00%,0.0000,0.3333,0.3333,0.0000,0.3333,0.3333,0.0000,0.3333,0.3333
MaterialFiles,5,5,0.0000,0.3518,0.3518,0.00%,0.0000,0.1000,0.1000,0.0000,0.4667,0.4667,0.0000,0.6333,0.6333
RetroMusicPlayer,1,1,0.0000,0.0417,0.0417,0.00%,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Slide,6,6,0.0000,0.0959,0.0959,0.00%,0.0000,0.0000,0.0000,0.0000,0.1667,0.1667,0.0000,0.4167,0.4167
StreetComplete,13,13,0.0000,0.0996,0.0996,0.00%,0.0000,0.0769,0.0769,0.0000,0.0769,0.0769,0.0000,0.1538,0.1538
UserLAnd,3,3,0.0000,0.6759,0.6759,0.00%,0.0000,0.6667,0.6667,0.0000,0.6667,0.6667,0.0000,0.6667,0.6667
VinylMusicPlayer,1,1,0.0000,1.0000,1.0000,0.00%,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000
android,1,1,0.0000,0.5000,0.5000,0.00%,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000
apps-android-commons,9,9,0.0000,0.1332,0.1332,0.00%,0.0000,0.1111,0.1111,0.0000,0.1111,0.1111,0.0000,0.1111,0.1111
cgeo,7,7,0.0000,0.3305,0.3305,0.00%,0.0000,0.2143,0.2143,0.0000,0.2857,0.2857,0.0000,0.5714,0.5714
collect,4,4,0.0000,0.1561,0.1561,0.00%,0.0000,0.0000,0.0000,0.0000,0.2500,0.2500,0.0000,0.2500,0.2500
florisboard,7,7,0.0000,0.1705,0.1705,0.00%,0.0000,0.1429,0.1429,0.0000,0.1429,0.1429,0.0000,0.2857,0.2857
focus-android,7,7,0.0000,0.2218,0.2218,0.00%,0.0000,0.0714,0.0714,0.0000,0.2143,0.2143,0.0000,0.3571,0.3571
kiwix-android,10,10,0.0000,0.1371,0.1371,0.00%,0.0000,0.1000,0.1000,0.0000,0.1000,0.1000,0.0000,0.1500,0.1500
mobile-wallet,2,2,0.0000,0.0223,0.0223,0.00%,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
openfoodfacts-androidapp,4,4,0.0000,0.0530,0.0530,0.00%,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.2500
phimpme-android,2,2,0.0000,0.0265,0.0265,0.00%,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
qksms,1,1,0.0000,0.1250,0.1250,0.00%,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000
simplenote-android,1,1,0.0000,0.1429,0.1429,0.00%,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000
thunderbird-android,10,10,0.0000,0.0935,0.0935,0.00%,0.0000,0.0000,0.0000,0.0000,0.2000,0.2000,0.0000,0.4000,0.4000
Overall,125,,0.0000,0.1706,0.1706,0.00%,0.0000,0.0920,0.0920,0.0000,0.1893,0.1893,0.0000,0.3027,0.3027
Average,125,,0.0000,0.2211,0.2211,0.00%,0.0000,0.1247,0.1247,0.0000,0.2390,0.2390,0.0000,0.4020,0.4020
