Repository,#queries,#queries with image,MRR_Text,MRR_Img,MRR_Diff,MRR_RI,Recall@1_Text,Recall@1_Img,Recall@1_Diff,Recall@5_Text,Recall@5_Img,Recall@5_Diff,Recall@10_Text,Recall@10_Img,Recall@10_Diff
Aegis,73,1,0.0967,0.0000,-0.0967,-100.00%,0.0346,0.0000,-0.0346,0.0603,0.0000,-0.0603,0.1541,0.0000,-0.1541
Anki-Android,154,4,0.0391,0.0000,-0.0391,-100.00%,0.0301,0.0000,-0.0301,0.0376,0.0000,-0.0376,0.0639,0.0000,-0.0639
AntennaPod,236,3,0.0601,0.0000,-0.0601,-100.00%,0.0184,0.0000,-0.0184,0.0399,0.0000,-0.0399,0.0815,0.0000,-0.0815
KISS,68,1,0.1436,0.0000,-0.1436,-100.00%,0.0333,0.0000,-0.0333,0.1621,0.0000,-0.1621,0.2318,0.0000,-0.2318
MaterialFiles,66,2,0.1047,0.0000,-0.1047,-100.00%,0.0556,0.0000,-0.0556,0.1204,0.0000,-0.1204,0.1667,0.0000,-0.1667
Omni-Notes,12,0,0.1370,0.0000,-0.1370,-100.00%,0.1000,0.0000,-0.1000,0.1000,0.0000,-0.1000,0.2000,0.0000,-0.2000
RetroMusicPlayer,54,1,0.2147,0.0000,-0.2147,-100.00%,0.0726,0.0000,-0.0726,0.1169,0.0000,-0.1169,0.2192,0.0000,-0.2192
Slide,73,1,0.1514,0.0000,-0.1514,-100.00%,0.0214,0.0000,-0.0214,0.2359,0.0000,-0.2359,0.2930,0.0000,-0.2930
StreetComplete,151,7,0.0625,0.0004,-0.0621,-99.40%,0.0265,0.0000,-0.0265,0.0582,0.0000,-0.0582,0.1124,0.0000,-0.1124
UserLAnd,32,1,0.3002,0.0000,-0.3002,-100.00%,0.2400,0.0000,-0.2400,0.3200,0.0000,-0.3200,0.4200,0.0000,-0.4200
VinylMusicPlayer,20,0,0.1750,0.0000,-0.1750,-100.00%,0.1053,0.0000,-0.1053,0.1316,0.0000,-0.1316,0.2632,0.0000,-0.2632
andOTP,16,0,0.0607,0.0000,-0.0607,-100.00%,0.0000,0.0000,0.0000,0.0781,0.0000,-0.0781,0.0781,0.0000,-0.0781
android,28,1,0.0331,0.0000,-0.0331,-100.00%,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0764,0.0000,-0.0764
anglers-log,18,0,0.2418,0.0000,-0.2418,-100.00%,0.1875,0.0000,-0.1875,0.3125,0.0000,-0.3125,0.3125,0.0000,-0.3125
apps-android-commons,64,5,0.1182,0.0007,-0.1175,-99.39%,0.0877,0.0000,-0.0877,0.1228,0.0000,-0.1228,0.1930,0.2000,0.0070
cgeo,337,5,0.0490,0.0000,-0.0490,-100.00%,0.0205,0.0000,-0.0205,0.0523,0.0000,-0.0523,0.0779,0.0000,-0.0779
collect,33,0,0.1496,0.0000,-0.1496,-100.00%,0.1333,0.0000,-0.1333,0.1333,0.0000,-0.1333,0.1667,0.0000,-0.1667
florisboard,113,2,0.0845,0.0000,-0.0845,-100.00%,0.0408,0.0000,-0.0408,0.0656,0.0000,-0.0656,0.1064,0.0000,-0.1064
focus-android,112,5,0.0435,0.0008,-0.0427,-98.11%,0.0163,0.2000,0.1837,0.0380,0.2000,0.1620,0.0380,0.2000,0.1620
iNaturalistAndroid,11,0,0.5039,0.0000,-0.5039,-100.00%,0.3636,0.0000,-0.3636,0.5000,0.0000,-0.5000,0.5455,0.0000,-0.5455
kiwix-android,81,2,0.0746,0.0000,-0.0746,-100.00%,0.0417,0.0000,-0.0417,0.0903,0.0000,-0.0903,0.1319,0.0000,-0.1319
materialistic,41,0,0.0899,0.0000,-0.0899,-100.00%,0.0513,0.0000,-0.0513,0.0855,0.0000,-0.0855,0.0855,0.0000,-0.0855
mobile-wallet,12,0,0.0363,0.0000,-0.0363,-100.00%,0.0000,0.0000,0.0000,0.0833,0.0000,-0.0833,0.0833,0.0000,-0.0833
openfoodfacts-androidapp,40,0,0.2087,0.0000,-0.2087,-100.00%,0.1272,0.0000,-0.1272,0.2500,0.0000,-0.2500,0.2763,0.0000,-0.2763
osmdroid,14,0,0.1256,0.0000,-0.1256,-100.00%,0.0769,0.0000,-0.0769,0.0769,0.0000,-0.0769,0.3077,0.0000,-0.3077
phimpme-android,14,0,0.0761,0.0000,-0.0761,-100.00%,0.0000,0.0000,0.0000,0.0857,0.0000,-0.0857,0.2286,0.0000,-0.2286
qksms,90,3,0.0556,0.0000,-0.0556,-100.00%,0.0195,0.0000,-0.0195,0.0714,0.0000,-0.0714,0.0974,0.0000,-0.0974
simplenote-android,7,0,0.0765,0.0000,-0.0765,-100.00%,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,-0.3333
thunderbird-android,353,7,0.0503,0.0000,-0.0503,-100.00%,0.0227,0.0000,-0.0227,0.0383,0.0000,-0.0383,0.0709,0.0000,-0.0709
