Repository,#queries,#queries with image,MRR_Text Only,MRR_Text + Image,MRR_Diff Img-Text,MRR_RI,Recall@1_Text Only,Recall@1_Text + Image,Recall@1_Diff Img-Text,Recall@5_Text Only,Recall@5_Text + Image,Recall@5_Diff Img-Text,Recall@10_Text Only,Recall@10_Text + Image,Recall@10_Diff Img-Text
Aegis,73,8,0.0972,0.1046,0.0074,7.63%,0.0269,0.0000,-0.0269,0.0372,0.2500,0.2128,0.1464,0.2500,0.1036
Anki-Android,154,32,0.0453,0.0288,-0.0166,-36.56%,0.0328,0.0000,-0.0328,0.0410,0.0312,-0.0097,0.0656,0.0469,-0.0187
AntennaPod,236,27,0.0602,0.1234,0.0633,105.13%,0.0167,0.0741,0.0573,0.0359,0.1296,0.0937,0.0758,0.1481,0.0723
KISS,68,13,0.1481,0.1027,-0.0453,-30.62%,0.0303,0.0385,0.0082,0.1824,0.0385,-0.1440,0.2467,0.1154,-0.1313
MaterialFiles,66,9,0.1312,0.0627,-0.0685,-52.19%,0.0673,0.0000,-0.0673,0.1404,0.0556,-0.0848,0.1637,0.2222,0.0585
Omni-Notes,12,0,0.1167,0.0000,-0.1167,-100.00%,0.0833,0.0000,-0.0833,0.0833,0.0000,-0.0833,0.1667,0.0000,-0.1667
RetroMusicPlayer,54,3,0.2392,0.0072,-0.2320,-96.97%,0.0773,0.0000,-0.0773,0.1181,0.0000,-0.1181,0.2111,0.0000,-0.2111
Slide,73,6,0.1825,0.0124,-0.1700,-93.18%,0.0417,0.0000,-0.0417,0.2509,0.0000,-0.2509,0.3015,0.0000,-0.3015
StreetComplete,151,29,0.0642,0.0215,-0.0428,-66.59%,0.0273,0.0000,-0.0273,0.0519,0.0345,-0.0174,0.1079,0.0345,-0.0734
UserLAnd,32,5,0.2383,0.4328,0.1945,81.61%,0.1852,0.4000,0.2148,0.2593,0.4000,0.1407,0.3333,0.5000,0.1667
VinylMusicPlayer,20,1,0.1506,0.5000,0.3494,232.10%,0.1053,0.0000,-0.1053,0.1053,0.5000,0.3947,0.2105,0.5000,0.2895
andOTP,16,0,0.0652,0.0000,-0.0652,-100.00%,0.0000,0.0000,0.0000,0.0781,0.0000,-0.0781,0.0781,0.0000,-0.0781
android,28,2,0.0701,0.0096,-0.0605,-86.36%,0.0385,0.0000,-0.0385,0.0385,0.0000,-0.0385,0.0897,0.0000,-0.0897
anglers-log,18,0,0.2429,0.0000,-0.2429,-100.00%,0.1667,0.0000,-0.1667,0.3333,0.0000,-0.3333,0.3889,0.0000,-0.3889
apps-android-commons,64,20,0.1399,0.0850,-0.0549,-39.25%,0.1023,0.0500,-0.0523,0.1250,0.1000,-0.0250,0.1932,0.1500,-0.0432
cgeo,337,29,0.0518,0.0431,-0.0087,-16.72%,0.0260,0.0000,-0.0260,0.0487,0.0805,0.0318,0.0763,0.0977,0.0214
collect,33,6,0.1616,0.0367,-0.1249,-77.29%,0.1481,0.0000,-0.1481,0.1481,0.0000,-0.1481,0.1481,0.1667,0.0185
florisboard,113,18,0.1033,0.1019,-0.0014,-1.39%,0.0313,0.0556,0.0242,0.0869,0.0667,-0.0202,0.1336,0.0667,-0.0669
focus-android,112,18,0.0322,0.0765,0.0443,137.29%,0.0106,0.0278,0.0171,0.0319,0.0278,-0.0041,0.0319,0.0833,0.0514
iNaturalistAndroid,11,3,0.6893,0.0146,-0.6747,-97.88%,0.5000,0.0000,-0.5000,0.6875,0.0000,-0.6875,0.7500,0.0000,-0.7500
kiwix-android,81,19,0.0722,0.1139,0.0416,57.61%,0.0161,0.1053,0.0891,0.0887,0.1053,0.0166,0.1613,0.1053,-0.0560
materialistic,41,0,0.1123,0.0000,-0.1123,-100.00%,0.0732,0.0000,-0.0732,0.1057,0.0000,-0.1057,0.1057,0.0000,-0.1057
mobile-wallet,12,4,0.0364,0.0894,0.0530,145.58%,0.0000,0.0000,0.0000,0.1250,0.2500,0.1250,0.1250,0.2500,0.1250
openfoodfacts-androidapp,40,7,0.2491,0.0156,-0.2334,-93.72%,0.1465,0.0000,-0.1465,0.2980,0.0000,-0.2980,0.3283,0.0000,-0.3283
osmdroid,14,0,0.1176,0.0000,-0.1176,-100.00%,0.0714,0.0000,-0.0714,0.0714,0.0000,-0.0714,0.2857,0.0000,-0.2857
phimpme-android,14,5,0.1253,0.0308,-0.0945,-75.41%,0.0000,0.0000,0.0000,0.1574,0.0000,-0.1574,0.2870,0.2000,-0.0870
qksms,90,5,0.0525,0.0274,-0.0250,-47.69%,0.0176,0.0000,-0.0176,0.0647,0.0000,-0.0647,0.0882,0.0000,-0.0882
simplenote-android,7,1,0.1284,0.0222,-0.1062,-82.69%,0.0000,0.0000,0.0000,0.1667,0.0000,-0.1667,0.5000,0.0000,-0.5000
thunderbird-android,353,34,0.0514,0.0431,-0.0082,-16.05%,0.0204,0.0294,0.0090,0.0418,0.0294,-0.0124,0.0750,0.0294,-0.0456
Overall,2323,,0.0882,0.0653,-0.0230,-26.05%,0.0397,0.0277,-0.0120,0.0825,0.0663,-0.0162,0.1255,0.0877,-0.0378
Average,2323,,0.1371,0.0726,-0.0644,-47.02%,0.0711,0.0269,-0.0442,0.1380,0.0724,-0.0657,0.2026,0.1023,-0.1003
