Project,query,corpus,score,rank,c_is_gt,BB,RS,SF,CF
Aegis,450,Aegis:339,0.083735,1,0,0.031293,0.219914,0.0,
Aegis,450,Aegis:423,0.090616,2,0,0.036529,0.235319,0.0,
Aegis,450,Aegis:175,0.107468,3,0,0.152784,0.169619,0.0,
Aegis,450,Aegis:413,0.110195,4,0,0.177482,0.153101,0.0,
Aegis,450,Aegis:397,0.113185,5,0,0.15606,0.183495,0.0,
Aegis,450,Aegis:411,0.115674,6,0,0.098861,0.248161,0.0,
Aegis,450,Aegis:155,0.117376,7,0,0.138435,0.213692,0.0,
Aegis,450,Aegis:422,0.118143,8,0,0.070653,0.283777,0.0,
Aegis,450,Aegis:383,0.118768,9,0,0.113933,0.242371,0.0,
Aegis,450,Aegis:343,0.119006,10,0,0.123033,0.233986,0.0,
Aegis,450,Aegis:287,0.11904,11,0,0.08891,0.097695,0.170515,
Aegis,450,Aegis:436,0.135294,12,0,0.133321,0.272561,0.0,
Aegis,450,Aegis:354,0.140229,13,0,0.153401,0.267285,0.0,
Aegis,450,Aegis:353,0.147326,14,0,0.153586,0.288394,0.0,
Aegis,450,Aegis:223,0.147997,15,0,0.155596,0.288394,0.0,
Aegis,450,Aegis:297,0.153123,16,0,0.136291,0.323078,0.0,
Aegis,450,Aegis:123,0.159663,17,0,0.20263,0.276358,0.0,
Aegis,450,Aegis:418,0.169882,18,1,0.209163,0.300483,0.0,
Aegis,450,Aegis:231,0.180569,19,0,0.181799,0.35991,0.0,
Aegis,450,Aegis:282,0.38029,20,0,0.140869,1.0,0.0,
Aegis,772,Aegis:758,0.073482,1,0,0.014304,0.206143,0.0,
Aegis,772,Aegis:479,0.08603,2,0,0.01754,0.240549,0.0,
Aegis,772,Aegis:560,0.091582,3,0,0.054197,0.220549,0.0,
Aegis,772,Aegis:751,0.092153,4,0,0.032674,0.243783,0.0,
Aegis,772,Aegis:531,0.092204,5,0,0.01604,0.260571,0.0,
Aegis,772,Aegis:495,0.101508,6,0,0.065631,0.238892,0.0,
Aegis,772,Aegis:475,0.11107,7,0,0.051466,0.281743,0.0,
Aegis,772,Aegis:471,0.11361,8,0,0.034929,0.305901,0.0,
Aegis,772,Aegis:682,0.129638,9,0,0.068821,0.320094,0.0,
Aegis,772,Aegis:635,0.148277,10,0,0.10451,0.340321,0.0,
Aegis,772,Aegis:765,0.149795,11,0,0.2151,0.234285,0.0,
Aegis,772,Aegis:767,0.198137,12,0,0.273342,0.321069,0.0,
Aegis,772,Aegis:656,0.198779,13,0,0.241502,0.354836,0.0,
Aegis,772,Aegis:759,0.20263,14,1,0.209764,0.398125,0.0,
Aegis,772,Aegis:590,0.20454,15,0,0.200243,0.413377,0.0,
Aegis,772,Aegis:492,0.229658,16,0,0.229474,0.242805,0.216696,
