Project,query,corpus,score,rank,c_is_gt,BB,RS,SF,CF
Aegis,450,Aegis:339,0.088621,1,0,0.05711,0.208753,0.0,
Aegis,450,Aegis:423,0.095193,2,0,0.062203,0.223377,0.0,
Aegis,450,Aegis:175,0.112095,3,0,0.175274,0.161011,0.0,
Aegis,450,Aegis:413,0.114876,4,0,0.199296,0.145332,0.0,
Aegis,450,Aegis:397,0.117548,5,0,0.17846,0.174183,0.0,
Aegis,450,Aegis:411,0.119465,6,0,0.122827,0.235567,0.0,
Aegis,450,Aegis:155,0.121388,7,0,0.161318,0.202848,0.0,
Aegis,450,Aegis:422,0.121589,8,0,0.095393,0.269376,0.0,
Aegis,450,Aegis:383,0.122519,9,0,0.137487,0.230071,0.0,
Aegis,450,Aegis:343,0.122816,10,0,0.146338,0.222112,0.0,
Aegis,450,Aegis:287,0.133669,11,0,0.113149,0.092737,0.195122,
Aegis,450,Aegis:436,0.138358,12,0,0.156344,0.258728,0.0,
Aegis,450,Aegis:354,0.143198,13,0,0.175874,0.253721,0.0,
Aegis,450,Aegis:353,0.149937,14,0,0.176054,0.273758,0.0,
Aegis,450,Aegis:223,0.150589,15,0,0.178009,0.273758,0.0,
Aegis,450,Aegis:297,0.155305,16,0,0.159233,0.306682,0.0,
Aegis,450,Aegis:123,0.162029,17,0,0.223755,0.262333,0.0,
Aegis,450,Aegis:418,0.171781,18,1,0.230109,0.285234,0.0,
Aegis,450,Aegis:231,0.181713,19,0,0.203494,0.341645,0.0,
Aegis,450,Aegis:282,0.387895,20,0,0.163685,1.0,0.0,
Aegis,772,Aegis:758,0.078756,1,0,0.040587,0.195681,0.0,
Aegis,772,Aegis:479,0.090692,2,0,0.043734,0.228341,0.0,
Aegis,772,Aegis:560,0.096248,3,0,0.079387,0.209356,0.0,
Aegis,772,Aegis:531,0.096541,4,0,0.042276,0.247347,0.0,
Aegis,772,Aegis:751,0.096622,5,0,0.058454,0.231412,0.0,
Aegis,772,Aegis:495,0.105759,6,0,0.090508,0.226769,0.0,
Aegis,772,Aegis:475,0.114725,7,0,0.076731,0.267445,0.0,
Aegis,772,Aegis:471,0.117008,8,0,0.060646,0.290377,0.0,
Aegis,772,Aegis:682,0.132487,9,0,0.093611,0.303849,0.0,
Aegis,772,Aegis:635,0.150458,10,0,0.128322,0.32305,0.0,
Aegis,772,Aegis:765,0.152759,11,0,0.235883,0.222395,0.0,
Aegis,772,Aegis:767,0.199102,12,0,0.29253,0.304775,0.0,
Aegis,772,Aegis:656,0.199463,13,0,0.261562,0.336829,0.0,
Aegis,772,Aegis:759,0.202871,14,1,0.230693,0.377921,0.0,
Aegis,772,Aegis:590,0.204611,15,0,0.221433,0.392399,0.0,
Aegis,772,Aegis:492,0.242771,16,0,0.249863,0.230483,0.247967,
Aegis,772,Aegis:637,0.384337,17,0,0.241287,0.427983,0.48374,
Aegis,772,Aegis:713,0.502165,18,0,0.506494,1.0,0.0,
Aegis,1085,Aegis:879,0.142221,1,0,0.144055,0.282609,0.0,
Aegis,1085,Aegis:982,0.160262,2,0,0.140313,0.340475,0.0,
Aegis,1085,Aegis:996,0.161978,3,0,0.105256,0.380677,0.0,
Aegis,1085,Aegis:1046,0.187281,4,0,0.309441,0.252402,0.0,
Aegis,1085,Aegis:906,0.199343,5,0,0.120656,0.477372,0.0,
Aegis,1085,Aegis:1081,0.20659,6,0,0.294448,0.325323,0.0,
Aegis,1085,Aegis:1051,0.207409,7,0,0.344652,0.277574,0.0,
Aegis,1085,Aegis:1049,0.213391,8,0,0.285173,0.355001,0.0,
Aegis,1085,Aegis:985,0.228987,9,0,0.308237,0.378724,0.0,
Aegis,1085,Aegis:918,0.301875,10,0,0.267621,0.638004,0.0,
Aegis,1085,Aegis:1012,0.306957,11,0,0.180015,0.27744,0.463415,
Aegis,1085,Aegis:1026,0.317325,12,0,0.069717,0.465591,0.416667,
Aegis,1085,Aegis:880,0.349109,13,0,0.287086,0.760241,0.0,
Aegis,1085,Aegis:1043,0.375412,14,1,0.114678,0.308306,0.703252,
Aegis,1085,Aegis:1025,0.386476,15,0,0.281017,0.402802,0.47561,
Aegis,1085,Aegis:1050,0.435099,16,0,0.305297,1.0,0.0,
Aegis,1085,Aegis:905,0.44087,17,0,0.322611,1.0,0.0,
Anki-Android,3821,Anki-Android:3799,0.391378,1,0,0.117222,1.0,0.056911,
Anki-Android,3821,Anki-Android:3613,0.391755,2,0,0.118353,1.0,0.056911,
Anki-Android,3821,Anki-Android:3660,0.398526,3,0,0.138668,1.0,0.056911,
Anki-Android,3821,Anki-Android:3499,0.399063,4,0,0.140278,1.0,0.056911,
Anki-Android,3821,Anki-Android:2622,0.400013,5,0,0.143127,1.0,0.056911,
Anki-Android,3821,Anki-Android:3680,0.400064,6,0,0.143283,1.0,0.056911,
Anki-Android,3821,Anki-Android:3756,0.403628,7,0,0.153974,1.0,0.056911,
Anki-Android,3821,Anki-Android:2623,0.403778,8,0,0.154423,1.0,0.056911,
Anki-Android,3821,Anki-Android:3633,0.404965,9,0,0.157985,1.0,0.056911,
Anki-Android,3821,Anki-Android:3773,0.405195,10,0,0.158673,1.0,0.056911,
Anki-Android,3821,Anki-Android:3703,0.405379,11,0,0.159227,1.0,0.056911,
Anki-Android,3821,Anki-Android:3708,0.40559,12,0,0.15986,1.0,0.056911,
Anki-Android,3821,Anki-Android:3710,0.405723,13,0,0.160259,1.0,0.056911,
Anki-Android,3821,Anki-Android:3761,0.406066,14,1,0.161286,1.0,0.056911,
Anki-Android,3821,Anki-Android:2866,0.40627,15,0,0.161899,1.0,0.056911,
Anki-Android,3821,Anki-Android:3585,0.406513,16,0,0.162629,1.0,0.056911,
Anki-Android,3821,Anki-Android:2438,0.40676,17,0,0.163371,1.0,0.056911,
Anki-Android,3821,Anki-Android:3724,0.407026,18,0,0.164167,1.0,0.056911,
Anki-Android,3821,Anki-Android:2003,0.407226,19,0,0.164766,1.0,0.056911,
Anki-Android,3821,Anki-Android:3706,0.407412,20,0,0.165324,1.0,0.056911,
Anki-Android,3821,Anki-Android:3681,0.407957,21,0,0.166961,1.0,0.056911,
