Project,query,corpus,score,rank,c_is_gt
Slide,180,Slide:87,0.0,1,0
Slide,180,Slide:44,0.0,2,0
Slide,180,Slide:114,0.0,3,0
Slide,180,Slide:168,0.0228,4,0
Slide,180,Slide:158,0.0426,5,0
Slide,180,Slide:38,0.0547,6,0
Slide,180,Slide:11,0.0624,7,0
Slide,180,Slide:59,0.0776,8,0
Slide,180,Slide:16,0.0828,9,0
Slide,180,Slide:36,0.0836,10,0
Slide,180,Slide:144,0.0849,11,0
Slide,180,Slide:85,0.0941,12,1
Slide,180,Slide:177,0.1026,13,0
Slide,180,Slide:88,0.1122,14,0
Slide,180,Slide:10,0.1131,15,0
Slide,180,Slide:104,0.1302,16,0
Slide,180,Slide:12,0.1476,17,0
MaterialFiles,214,MaterialFiles:193,0.0,1,0
MaterialFiles,214,MaterialFiles:94,0.0,2,0
MaterialFiles,214,MaterialFiles:132,0.0264,3,0
MaterialFiles,214,MaterialFiles:177,0.0268,4,0
MaterialFiles,214,MaterialFiles:128,0.0385,5,0
MaterialFiles,214,MaterialFiles:211,0.046,6,0
MaterialFiles,214,MaterialFiles:210,0.0575,7,1
MaterialFiles,216,MaterialFiles:177,0.0,1,0
MaterialFiles,216,MaterialFiles:210,0.0495,2,1
MaterialFiles,216,MaterialFiles:211,0.06,3,0
MaterialFiles,216,MaterialFiles:128,0.0675,4,0
MaterialFiles,216,MaterialFiles:214,0.0726,5,1
MaterialFiles,216,MaterialFiles:132,0.0736,6,0
MaterialFiles,216,MaterialFiles:193,0.085,7,0
MaterialFiles,216,MaterialFiles:94,0.1007,8,0
MaterialFiles,250,MaterialFiles:132,0.0,1,0
MaterialFiles,250,MaterialFiles:211,0.0,2,0
MaterialFiles,250,MaterialFiles:217,0.0,3,0
MaterialFiles,250,MaterialFiles:234,0.0,4,0
MaterialFiles,250,MaterialFiles:210,0.0376,5,1
MaterialFiles,250,MaterialFiles:227,0.0506,6,0
MaterialFiles,250,MaterialFiles:220,0.0671,7,0
MaterialFiles,250,MaterialFiles:177,0.0686,8,0
MaterialFiles,250,MaterialFiles:237,0.0702,9,0
MaterialFiles,250,MaterialFiles:214,0.0704,10,1
MaterialFiles,250,MaterialFiles:216,0.0724,11,1
MaterialFiles,250,MaterialFiles:128,0.0766,12,0
MaterialFiles,250,MaterialFiles:193,0.0891,13,0
MaterialFiles,250,MaterialFiles:94,0.112,14,0
MaterialFiles,250,MaterialFiles:245,0.1292,15,0
phimpme-android,276,phimpme-android:148,0.0,1,0
phimpme-android,276,phimpme-android:151,0.0,2,0
phimpme-android,276,phimpme-android:171,0.0,3,0
phimpme-android,276,phimpme-android:178,0.0,4,0
phimpme-android,276,phimpme-android:180,0.0,5,0
phimpme-android,276,phimpme-android:185,0.0,6,0
phimpme-android,276,phimpme-android:194,0.0,7,0
phimpme-android,276,phimpme-android:195,0.0,8,0
phimpme-android,276,phimpme-android:250,0.0,9,0
phimpme-android,276,phimpme-android:257,0.0,10,0
phimpme-android,276,phimpme-android:56,0.0,11,0
phimpme-android,276,phimpme-android:62,0.0,12,0
phimpme-android,276,phimpme-android:74,0.0,13,0
phimpme-android,276,phimpme-android:105,0.0,14,0
phimpme-android,276,phimpme-android:109,0.0,15,0
phimpme-android,276,phimpme-android:118,0.0,16,0
phimpme-android,276,phimpme-android:125,0.0,17,0
phimpme-android,276,phimpme-android:126,0.0,18,0
phimpme-android,276,phimpme-android:131,0.0,19,0
phimpme-android,276,phimpme-android:201,0.0,20,0
phimpme-android,276,phimpme-android:202,0.0,21,0
phimpme-android,276,phimpme-android:224,0.0,22,0
phimpme-android,276,phimpme-android:226,0.0,23,0
phimpme-android,276,phimpme-android:228,0.0,24,1
phimpme-android,276,phimpme-android:230,0.0,25,0
phimpme-android,276,phimpme-android:232,0.0,26,0
phimpme-android,276,phimpme-android:248,0.0,27,0
phimpme-android,276,phimpme-android:175,0.0348,28,0
phimpme-android,276,phimpme-android:159,0.0367,29,0
phimpme-android,276,phimpme-android:114,0.0412,30,0
phimpme-android,276,phimpme-android:160,0.0415,31,0
phimpme-android,276,phimpme-android:264,0.0426,32,0
phimpme-android,276,phimpme-android:246,0.0448,33,0
phimpme-android,276,phimpme-android:217,0.045,34,0
phimpme-android,276,phimpme-android:150,0.0465,35,0
phimpme-android,276,phimpme-android:266,0.0473,36,0
phimpme-android,276,phimpme-android:124,0.0477,37,0
phimpme-android,276,phimpme-android:133,0.0486,38,0
phimpme-android,276,phimpme-android:251,0.0506,39,0
phimpme-android,276,phimpme-android:219,0.0514,40,0
phimpme-android,276,phimpme-android:247,0.0526,41,0
phimpme-android,276,phimpme-android:216,0.0543,42,0
phimpme-android,276,phimpme-android:214,0.0552,43,0
phimpme-android,276,phimpme-android:240,0.056,44,0
phimpme-android,276,phimpme-android:200,0.0581,45,0
phimpme-android,276,phimpme-android:93,0.0646,46,0
phimpme-android,276,phimpme-android:161,0.0732,47,0
phimpme-android,276,phimpme-android:234,0.0744,48,0
MaterialFiles,298,MaterialFiles:132,0.036,1,0
MaterialFiles,298,MaterialFiles:177,0.0417,2,0
MaterialFiles,298,MaterialFiles:214,0.0427,3,1
MaterialFiles,298,MaterialFiles:220,0.0503,4,0
MaterialFiles,298,MaterialFiles:211,0.0508,5,0
MaterialFiles,298,MaterialFiles:275,0.0538,6,0
MaterialFiles,298,MaterialFiles:237,0.0544,7,0
MaterialFiles,298,MaterialFiles:227,0.0562,8,0
MaterialFiles,298,MaterialFiles:193,0.0575,9,0
MaterialFiles,298,MaterialFiles:128,0.0592,10,0
MaterialFiles,298,MaterialFiles:210,0.0672,11,1
MaterialFiles,298,MaterialFiles:250,0.0682,12,1
MaterialFiles,298,MaterialFiles:234,0.0729,13,0
MaterialFiles,298,MaterialFiles:217,0.0766,14,0
MaterialFiles,298,MaterialFiles:216,0.0774,15,1
MaterialFiles,298,MaterialFiles:245,0.157,16,0
kiwix-android,340,kiwix-android:160,0.0,1,0
kiwix-android,340,kiwix-android:161,0.0,2,0
kiwix-android,340,kiwix-android:166,0.0,3,0
kiwix-android,340,kiwix-android:263,0.0,4,1
kiwix-android,340,kiwix-android:293,0.0,5,0
kiwix-android,340,kiwix-android:6,0.0,6,0
kiwix-android,340,kiwix-android:31,0.0,7,0
kiwix-android,340,kiwix-android:308,0.0,8,0
kiwix-android,340,kiwix-android:324,0.0,9,0
kiwix-android,340,kiwix-android:199,0.0,10,0
kiwix-android,340,kiwix-android:208,0.0,11,0
kiwix-android,340,kiwix-android:214,0.0,12,0
kiwix-android,340,kiwix-android:162,0.0248,13,0
kiwix-android,340,kiwix-android:264,0.0266,14,0
kiwix-android,340,kiwix-android:335,0.0411,15,0
kiwix-android,340,kiwix-android:299,0.0434,16,0
kiwix-android,340,kiwix-android:134,0.0466,17,0
kiwix-android,340,kiwix-android:16,0.0474,18,0
kiwix-android,340,kiwix-android:165,0.0495,19,0
kiwix-android,340,kiwix-android:247,0.0514,20,0
kiwix-android,340,kiwix-android:8,0.0613,21,0
kiwix-android,340,kiwix-android:195,0.0633,22,0
kiwix-android,340,kiwix-android:76,0.0786,23,0
kiwix-android,340,kiwix-android:243,0.0916,24,0
kiwix-android,340,kiwix-android:163,0.1874,25,0
MaterialFiles,385,MaterialFiles:250,0.0,1,0
MaterialFiles,385,MaterialFiles:361,0.0,2,0
MaterialFiles,385,MaterialFiles:370,0.0,3,0
MaterialFiles,385,MaterialFiles:217,0.0,4,0
MaterialFiles,385,MaterialFiles:234,0.0,5,0
MaterialFiles,385,MaterialFiles:344,0.204,6,0
MaterialFiles,385,MaterialFiles:216,0.2098,7,0
MaterialFiles,385,MaterialFiles:342,0.214,8,0
MaterialFiles,385,MaterialFiles:314,0.2213,9,0
MaterialFiles,385,MaterialFiles:245,0.2246,10,0
MaterialFiles,385,MaterialFiles:210,0.227,11,0
MaterialFiles,385,MaterialFiles:379,0.238,12,0
MaterialFiles,385,MaterialFiles:237,0.239,13,0
MaterialFiles,385,MaterialFiles:227,0.2408,14,0
MaterialFiles,385,MaterialFiles:220,0.2426,15,0
MaterialFiles,385,MaterialFiles:313,0.2463,16,0
MaterialFiles,385,MaterialFiles:369,0.2464,17,0
MaterialFiles,385,MaterialFiles:358,0.248,18,0
MaterialFiles,385,MaterialFiles:211,0.2501,19,0
MaterialFiles,385,MaterialFiles:298,0.2524,20,0
MaterialFiles,385,MaterialFiles:177,0.258,21,0
MaterialFiles,385,MaterialFiles:300,0.2591,22,0
MaterialFiles,385,MaterialFiles:275,0.2632,23,0
MaterialFiles,385,MaterialFiles:214,0.2663,24,0
MaterialFiles,385,MaterialFiles:340,0.271,25,0
MaterialFiles,385,MaterialFiles:363,0.2738,26,0
MaterialFiles,385,MaterialFiles:193,0.2772,27,1
MaterialFiles,385,MaterialFiles:376,0.2788,28,0
MaterialFiles,385,MaterialFiles:329,0.2812,29,0
MaterialFiles,385,MaterialFiles:343,0.2839,30,0
MaterialFiles,385,MaterialFiles:330,0.2847,31,0
mobile-wallet,392,mobile-wallet:160,0.0,1,0
mobile-wallet,392,mobile-wallet:251,0.0,2,0
mobile-wallet,392,mobile-wallet:370,0.0,3,0
mobile-wallet,392,mobile-wallet:372,0.0,4,0
mobile-wallet,392,mobile-wallet:382,0.0,5,0
mobile-wallet,392,mobile-wallet:83,0.0,6,0
mobile-wallet,392,mobile-wallet:305,0.0,7,0
