Project,query,corpus,score,rank,c_is_gt,BB,RS,SF,CF
Slide,180,Slide:11,0.12005786956521741,1,0,0.059714,1.0,0.181172,
Slide,180,Slide:10,0.12005786956521741,2,0,0.059714,1.0,0.181172,
Slide,180,Slide:16,0.12131091304347828,3,0,0.061155,1.0,0.181172,
Slide,180,Slide:38,0.13358395652173913,4,0,0.075269,1.0,0.181172,
Slide,180,Slide:168,0.13771265217391304,5,0,0.080017,1.0,0.181172,
Slide,180,Slide:59,0.14434134782608696,6,0,0.08764,1.0,0.181172,
Slide,180,Slide:36,0.14971265217391302,7,0,0.093817,1.0,0.181172,
Slide,180,Slide:144,0.15556221739130435,8,0,0.100544,1.0,0.181172,
Slide,180,Slide:85,0.1625178695652174,9,1,0.108543,1.0,0.181172,
Slide,180,Slide:158,0.17447265217391303,10,0,0.122291,1.0,0.181172,
Slide,180,Slide:87,0.20214656521739133,11,0,0.154116,1.0,0.181172,
Slide,180,Slide:12,0.28810743478260875,12,0,0.252971,1.0,0.181172,
Slide,180,Slide:177,0.3074622173913044,13,0,0.275229,1.0,0.181172,
Slide,180,Slide:114,0.6640396086956523,14,0,0.685293,1.0,0.181172,
Slide,180,Slide:44,0.7066587391304348,15,0,0.734305,1.0,0.181172,
Slide,180,Slide:88,0.7066587391304348,16,0,0.734305,1.0,0.181172,
Slide,180,Slide:104,0.7942337789473684,17,0,0.847814,1.0,0.090586,0.664329
MaterialFiles,214,MaterialFiles:132,0.055679728260869574,1,0,0.055121,0.142571,0.0,
MaterialFiles,214,MaterialFiles:177,0.07983451086956522,2,0,0.082899,0.142571,0.0,
MaterialFiles,214,MaterialFiles:211,0.10154445652173913,3,0,0.094525,0.356018,0.0,
MaterialFiles,214,MaterialFiles:193,0.1302817391304348,4,0,0.087324,1.0,0.0,
MaterialFiles,214,MaterialFiles:210,0.13349277173913046,5,1,0.144606,0.142571,0.0,
MaterialFiles,214,MaterialFiles:128,0.14095391304347826,6,0,0.099597,1.0,0.0,
MaterialFiles,214,MaterialFiles:94,0.518986195652174,7,0,0.579866,0.27149,0.0,
MaterialFiles,216,MaterialFiles:214,0.07811505434782609,1,1,0.046797,0.688565,0.0,
MaterialFiles,216,MaterialFiles:132,0.08674081521739131,2,0,0.05654,0.691391,0.0,
MaterialFiles,216,MaterialFiles:211,0.10819978260869567,3,0,0.075012,0.790684,0.0,
MaterialFiles,216,MaterialFiles:177,0.13479733695652177,4,0,0.111805,0.691391,0.0,
MaterialFiles,216,MaterialFiles:128,0.13902695652173913,5,0,0.097381,1.0,0.0,
MaterialFiles,216,MaterialFiles:210,0.14332690217391306,6,1,0.121614,0.691391,0.0,
MaterialFiles,216,MaterialFiles:193,0.14872869565217392,7,0,0.108538,1.0,0.0,
MaterialFiles,216,MaterialFiles:94,0.5190794565217391,8,0,0.553882,0.68895,0.0,
MaterialFiles,250,MaterialFiles:132,0.12309073913043479,1,0,0.079269,0.315215,0.486679,
MaterialFiles,250,MaterialFiles:217,0.12804351086956522,2,0,0.088147,0.264298,0.486679,
MaterialFiles,250,MaterialFiles:227,0.1315056304347826,3,0,0.081208,0.439025,0.486679,
MaterialFiles,250,MaterialFiles:177,0.13443595652173915,4,0,0.092316,0.315215,0.486679,
MaterialFiles,250,MaterialFiles:220,0.13598584782608697,5,0,0.090083,0.379461,0.486679,
MaterialFiles,250,MaterialFiles:214,0.14082459782608694,6,1,0.095911,0.375246,0.486679,
MaterialFiles,250,MaterialFiles:211,0.14594215217391307,7,0,0.103802,0.343153,0.486679,
MaterialFiles,250,MaterialFiles:234,0.1577278586956522,8,0,0.109637,0.46665,0.486679,
MaterialFiles,250,MaterialFiles:237,0.15972269565217392,9,0,0.113667,0.438875,0.486679,
MaterialFiles,250,MaterialFiles:216,0.1678494891304348,10,1,0.100841,0.793624,0.486679,
MaterialFiles,250,MaterialFiles:210,0.16838813043478265,11,1,0.131361,0.315215,0.486679,
